lgcode,pref,city,domain,spf,spf_policy,dmarc,dmarc_policy,mx,mx_spf,mx_spf_policy,mx_dmarc,mx_dmarc_policy
014338,北海道,妹背牛町,town.moseushi.hokkaido.jp,False,,False,,alt3.aspmx.l.google.com,False,,False,
014338,北海道,妹背牛町,town.moseushi.hokkaido.jp,False,,False,,alt2.aspmx.l.google.com,False,,False,
014338,北海道,妹背牛町,town.moseushi.hokkaido.jp,False,,False,,alt1.aspmx.l.google.com,False,,False,
014346,北海道,秩父別町,town.chippubetsu.hokkaido.jp,False,,False,,ak121.secure.ne.jp,False,,False,
014362,北海道,雨竜町,town.uryu.hokkaido.jp,True,relax,False,,relay.town.uryu.hokkaido.jp,False,,False,
014371,北海道,北竜町,town.hokuryu.hokkaido.jp,True,relax,False,,ns.town.hokuryu.hokkaido.jp,False,,False,
014389,北海道,沼田町,town.numata.hokkaido.jp,False,,False,,numata-mail.town.numata.hokkaido.jp,False,,False,
014524,北海道,鷹栖町,town.takasu.hokkaido.jp,False,,False,,mail.town.takasu.hokkaido.jp,False,,False,
014532,北海道,東神楽町,town.higashikagura.lg.jp,True,relax,False,,mail.town.higashikagura.lg.jp,False,,False,
014541,北海道,当麻町,town.tohma.hokkaido.jp,True,relax,False,,mail.town.tohma.hokkaido.jp,False,,False,
014559,北海道,比布町,town.pippu.hokkaido.jp,True,relax,False,,imsva.town.pippu.hokkaido.jp,False,,False,
014567,北海道,愛別町,town.aibetsu.hokkaido.jp,True,relax,False,,relay.town.aibetsu.hokkaido.jp,False,,False,
014575,北海道,上川町,town.hokkaido-kamikawa.lg.jp,True,relax,False,,mail.town.hokkaido-kamikawa.lg.jp,False,,False,
014583,北海道,東川町,town.higashikawa.hokkaido.jp,True,relax,False,,relay.town.higashikawa.hokkaido.jp,False,,False,
014591,北海道,美瑛町,town.biei.hokkaido.jp,True,relax,False,,relay.town.biei.hokkaido.jp,False,,False,
014605,北海道,上富良野町,town.kamifurano.hokkaido.jp,True,strict,False,,mail.town.kamifurano.lg.jp,False,,False,
014613,北海道,中富良野町,town.nakafurano.lg.jp,False,,False,,,,,,
014621,北海道,南富良野町,town.minamifurano.hokkaido.jp,False,,False,,mail.town.minamifurano.hokkaido.jp,False,,False,
014630,北海道,占冠村,vill.shimukappu.lg.jp,True,relax,False,,ns01.vill.shimukappu.lg.jp,False,,False,
014648,北海道,和寒町,town.wassamu.hokkaido.jp,True,relax,False,,mail.town.wassamu.hokkaido.jp,False,,False,
014656,北海道,剣淵町,town.kembuchi.hokkaido.jp,False,,False,,relay.town.kembuchi.hokkaido.jp,False,,False,
014681,北海道,下川町,town.shimokawa.hokkaido.jp,True,strict,False,,sk-mail.town.shimokawa.hokkaido.jp,False,,False,
014681,北海道,下川町,town.shimokawa.hokkaido.jp,True,strict,False,,town-shimokawa-hokkaido-jp.mail.protection.outlook.com,False,,False,
014699,北海道,美深町,town.bifuka.hokkaido.jp,True,strict,False,,mail.town.bifuka.hokkaido.jp,False,,False,
014702,北海道,音威子府村,vill.otoineppu.hokkaido.jp,False,,False,,ot-mail.vill.otoineppu.hokkaido.jp,False,,False,
014711,北海道,中川町,town.nakagawa.hokkaido.jp,True,relax,False,,relay.town.nakagawa.hokkaido.jp,False,,False,
014729,北海道,幌加内町,town.horokanai.hokkaido.jp,False,,False,,relay.town.horokanai.hokkaido.jp,False,,False,
014818,北海道,増毛町,town.mashike.hokkaido.jp,False,,False,,relay.town.mashike.hokkaido.jp,False,,False,
014826,北海道,小平町,town.obira.hokkaido.jp,False,,False,,,,,,
014834,北海道,苫前町,town.tomamae.lg.jp,True,strict,False,,ns01.town.tomamae.lg.jp,False,,False,
014834,北海道,苫前町,town.tomamae.lg.jp,True,strict,False,,town-tomamae-lg-jp.mail.protection.outlook.com,False,,False,
014842,北海道,羽幌町,town.haboro.lg.jp,False,,False,,mail.town.haboro.lg.jp,False,,False,
014851,北海道,初山別村,vill.shosanbetsu.lg.jp,False,,False,,mail.vill.shosanbetsu.lg.jp,True,strict,False,
014869,北海道,遠別町,town.embetsu.hokkaido.jp,True,relax,False,,relay.town.embetsu.hokkaido.jp,False,,False,
014877,北海道,天塩町,teshiotown.hokkaido.jp,False,,False,,mail.teshiotown.hokkaido.jp,False,,False,
015113,北海道,猿払村,vill.sarufutsu.hokkaido.jp,True,relax,False,,imsva.vill.sarufutsu.hokkaido.jp,False,,False,
015121,北海道,浜頓別町,town.hamatonbetsu.hokkaido.jp,False,,False,,mail.town.hamatonbetsu.hokkaido.jp,False,,False,
015130,北海道,中頓別町,town.nakatombetsu.hokkaido.jp,False,,False,,mx.town.nakatombetsu.hokkaido.jp,False,,False,
015148,北海道,枝幸町,town.esashi.hokkaido.jp,False,,False,,,,,,
015164,北海道,豊富町,town.toyotomi.hokkaido.jp,True,relax,False,,relay.town.toyotomi.hokkaido.jp,False,,False,
015172,北海道,礼文町,town.rebun.hokkaido.jp,False,,False,,town.rebun.hokkaido.jp,False,,False,
015181,北海道,利尻町,town.rishiri.hokkaido.jp,False,,False,,mail-srv.town.rishiri.hokkaido.jp,False,,False,
015199,北海道,利尻富士町,town.rishirifuji.hokkaido.jp,True,relax,False,,rf-lg2.town.rishirifuji.hokkaido.jp,False,,False,
015202,北海道,幌延町,town.horonobe.lg.jp,True,relax,False,,imsva.town.horonobe.lg.jp,False,,False,
015431,北海道,美幌町,town.bihoro.hokkaido.jp,True,strict,False,,mail.town.bihoro.hokkaido.jp,False,,False,
015440,北海道,津別町,town.tsubetsu.hokkaido.jp,False,,False,,relay.town.tsubetsu.hokkaido.jp,False,,False,
015458,北海道,斜里町,town.shari.hokkaido.jp,True,relax,False,,relay.town.shari.hokkaido.jp,False,,False,
015466,北海道,清里町,town.kiyosato.hokkaido.jp,False,,False,,relay.town.kiyosato.hokkaido.jp,False,,False,
015474,北海道,小清水町,town.koshimizu.hokkaido.jp,True,relax,False,,mail.town.koshimizu.hokkaido.jp,False,,False,
015491,北海道,訓子府町,town.kunneppu.hokkaido.jp,False,,False,,mail.town.kunneppu.hokkaido.jp,False,,False,
015504,北海道,置戸町,town.oketo.hokkaido.jp,True,relax,False,,relay.town.oketo.hokkaido.jp,False,,False,
015521,北海道,佐呂間町,town.saroma.hokkaido.jp,True,relax,False,,mail.town.saroma.hokkaido.jp,False,,False,
015555,北海道,遠軽町,engaru.jp,True,relax,False,,svi05.engaru.jp,False,,False,
015598,北海道,湧別町,town.yubetsu.lg.jp,True,relax,False,,relay.town.yubetsu.lg.jp,False,,False,
015601,北海道,滝上町,town.takinoue.hokkaido.jp,True,relax,False,,mail.town.takinoue.hokkaido.jp,False,,False,
015610,北海道,興部町,town.okoppe.lg.jp,False,,False,,mail.town.okoppe.lg.jp,False,,False,
015628,北海道,西興部村,vill.nishiokoppe.lg.jp,True,relax,False,,relay.vill.nishiokoppe.lg.jp,False,,False,
015636,北海道,雄武町,town.oumu.hokkaido.jp,True,relax,False,,mail.town.oumu.hokkaido.jp,False,,False,
015644,北海道,大空町,town.ozora.hokkaido.jp,False,,False,,relay.town.ozora.hokkaido.jp,False,,False,
015717,北海道,豊浦町,town.toyoura.hokkaido.jp,True,strict,False,,ns1.town.toyoura.hokkaido.jp,False,,False,
015750,北海道,壮瞥町,town.sobetsu.lg.jp,True,strict,False,,mail.union.nishi-iburi.lg.jp,False,,False,
015784,北海道,白老町,town.shiraoi.hokkaido.jp,False,,False,,mail.town.shiraoi.hokkaido.jp,False,,False,
015814,北海道,厚真町,town.atsuma.lg.jp,False,,False,,relay.town.atsuma.lg.jp,False,,False,
015849,北海道,洞爺湖町,town.toyako.hokkaido.jp,True,relax,False,,relay.town.toyako.hokkaido.jp,False,,False,
015857,北海道,安平町,town.abira.lg.jp,True,relax,False,,relay.town.abira.lg.jp,False,,False,
015865,北海道,むかわ町,town.mukawa.lg.jp,True,relax,False,,relay.town.mukawa.lg.jp,False,,False,
016012,北海道,日高町,town.hidaka.hokkaido.jp,True,relax,False,,mail.town.hidaka.hokkaido.jp,False,,False,
016021,北海道,平取町,town.biratori.hokkaido.jp,True,strict,False,,relay.town.biratori.hokkaido.jp,False,,False,
016047,北海道,新冠町,niikappu.jp,True,relax,False,,relay.niikappu.jp,False,,False,
016071,北海道,浦河町,town.urakawa.hokkaido.jp,True,relax,False,,ur-mail.town.urakawa.hokkaido.jp,False,,False,
016080,北海道,様似町,samani.jp,False,,False,,relay.samani.jp,False,,False,
016098,北海道,えりも町,town.erimo.lg.jp,True,relax,False,,relay.town.erimo.lg.jp,False,,False,
016101,北海道,新ひだか町,shinhidaka-hokkaido.jp,False,,False,,,,,,
016314,北海道,音更町,town.otofuke.hokkaido.jp,True,strict,False,,relay.town.otofuke.hokkaido.jp,False,,False,
016322,北海道,士幌町,shihoro.jp,True,relax,False,,relay.shihoro.jp,False,,False,
016331,北海道,上士幌町,kamishihoro.jp,True,relax,False,,mail.kamishihoro.jp,False,,False,
016349,北海道,鹿追町,town.shikaoi.lg.jp,True,relax,False,,relay.town.shikaoi.lg.jp,False,,False,
016357,北海道,新得町,shintoku-town.jp,False,,False,,,,,,
016365,北海道,清水町,town.shimizu.hokkaido.jp,True,strict,False,,relay.town.shimizu.hokkaido.jp,False,,False,
016373,北海道,芽室町,memuro.net,True,strict,False,,relay.memuro.net,False,,False,
016381,北海道,中札内村,vill.nakasatsunai.hokkaido.jp,True,strict,False,,ns1.vill.nakasatsunai.hokkaido.jp,False,,False,
016390,北海道,更別村,sarabetsu.jp,True,relax,False,,relay.sarabetsu.jp,False,,False,
016411,北海道,大樹町,town.taiki.hokkaido.jp,True,relax,False,,mail.town.taiki.hokkaido.jp,False,,False,
016420,北海道,広尾町,town.hiroo.lg.jp,True,relax,False,,relay.town.hiroo.lg.jp,False,,False,
016438,北海道,幕別町,town.makubetsu.lg.jp,True,strict,False,,ns1.town.makubetsu.lg.jp,False,,False,
016446,北海道,池田町,town.hokkaido-ikeda.lg.jp,True,relax,False,,mail.town.hokkaido-ikeda.lg.jp,False,,False,
016454,北海道,豊頃町,toyokoro.jp,True,relax,False,,ns.toyokoro.jp,False,,False,
016462,北海道,本別町,town.honbetsu.hokkaido.jp,False,,False,,mail.town.honbetsu.hokkaido.jp,False,,False,
016471,北海道,足寄町,town.ashoro.hokkaido.jp,True,relax,False,,mail.town.ashoro.hokkaido.jp,False,,False,
016489,北海道,陸別町,rikubetsu.jp,True,relax,False,,relay.rikubetsu.jp,False,,False,
016497,北海道,浦幌町,urahoro.jp,True,relax,False,,mx.urahoro.jp,False,,False,
016616,北海道,釧路町,town.kushiro.lg.jp,True,relax,False,,mail.town.kushiro.lg.jp,False,,False,
016624,北海道,厚岸町,akkeshi-town.jp,True,relax,False,,mail.akkeshi-town.jp,False,,False,
016632,北海道,浜中町,townhamanaka.jp,False,,False,,orange-deer-a434322518ea0785.znlc.jp,False,,False,
